Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.2950           1.8752       0.7344       1.1409   275.8
0.3000           1.9204       0.7075       1.2129   293.2
0.3050           1.9997       0.7260       1.2736   307.9
0.3100           2.1043       0.7658       1.3385   323.6
0.3150           2.1619       0.8340       1.3279   321.0
0.3200           1.9612       0.9175       1.0438   252.3
0.3250           2.0057       0.9972       1.0086   243.8
0.3300           2.1571       1.0663       1.0907   263.7
0.3350           2.1864       1.1176       1.0688   258.4
0.3400           2.1983       1.1306       1.0677   258.1
0.3450           2.1468       1.1279       1.0189   246.3
0.3500           2.1038       1.1095       0.9943   240.4
0.3550           2.1221       1.0671       1.0550   255.1
0.3600           2.1349       1.0339       1.1009   266.2
0.3650           2.1480       1.0043       1.1437   276.5
0.3700           2.1404       1.0006       1.1397   275.5
0.3750           2.1268       1.0108       1.1160   269.8
0.3800           2.1060       1.0247       1.0813   261.4
0.3850           2.0365       1.0160       1.0205   246.7
0.3900           2.1370       0.9958       1.1411   275.9
0.3950           1.9923       0.9663       1.0261   248.1
0.4000           1.8738       0.9438       0.9300   224.8
0.4050           1.8596       0.9082       0.9514   230.0
0.4100           1.8347       0.8884       0.9463   228.8
0.4150           1.9282       0.8930       1.0352   250.3
0.4200           1.9486       0.9169       1.0318   249.4
0.4250           1.8721       0.9403       0.9318   225.3
0.4300           1.9550       0.9539       1.0011   242.0
0.4350           2.0084       0.9488       1.0596   256.2
0.4400           1.8448       0.9276       0.9172   221.7
0.4450           1.8098       0.9012       0.9086   219.7
0.4500           1.8182       0.8738       0.9444   228.3
0.4550           1.8482       0.8534       0.9948   240.5
0.4600           1.8068       0.8417       0.9652   233.3
0.4650           1.8438       0.8324       1.0114   244.5
0.4700           1.6567       0.8208       0.8360   202.1
0.4750           1.6060       0.8102       0.7958   192.4
0.4800           1.6062       0.7814       0.8248   199.4
0.4850           1.6748       0.7529       0.9219   222.9
0.4900           1.7547       0.7170       1.0376   250.9
0.4950           1.7262       0.6713       1.0549   255.0
0.5000           1.7532       0.6341       1.1191   270.6
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           0.7057      -0.2140       0.9198   222.4
0.0050           0.7644      -0.1858       0.9502   229.7
0.0100           0.8086      -0.1016       0.9102   220.1
0.0150           0.7498       0.0225       0.7273   175.8
0.0200           0.7959       0.1660       0.6299   152.3
0.0250           0.8332       0.3016       0.5316   128.5
0.0300           0.8633       0.4139       0.4494   108.6
0.0350           0.9229       0.4882       0.4347   105.1
0.0400           1.0024       0.5082       0.4942   119.5
0.0450           1.0544       0.4917       0.5627   136.0
0.0500           1.0728       0.4623       0.6105   147.6
0.0550           1.1845       0.4413       0.7433   179.7
0.0600           1.2311       0.4349       0.7962   192.5
0.0650           1.2518       0.4617       0.7901   191.0
0.0700           1.4188       0.5032       0.9156   221.3
0.0750           1.2731       0.5339       0.7392   178.7
0.0800           1.3195       0.5523       0.7672   185.5
0.0850           1.2973       0.5878       0.7096   171.5
0.0900           1.3333       0.6304       0.7030   170.0
0.0950           1.4669       0.6632       0.8037   194.3
0.1000           1.4516       0.6955       0.7561   182.8
0.1050           1.4750       0.6993       0.7757   187.5
0.1100           1.4889       0.6845       0.8044   194.5
0.1150           1.5090       0.6381       0.8710   210.6
0.1200           1.4985       0.5911       0.9074   219.4
0.1250           1.4940       0.5388       0.9552   230.9
0.1300           1.4105       0.4884       0.9221   222.9
0.1350           1.4800       0.4664       1.0136   245.1
0.1400           1.5253       0.4768       1.0485   253.5
0.1450           1.5548       0.5261       1.0287   248.7
0.1500           1.5202       0.6089       0.9112   220.3
0.1550           1.6023       0.7027       0.8995   217.5
0.1600           1.5786       0.7925       0.7861   190.0
0.1650           1.5585       0.8613       0.6972   168.6
0.1700           1.5962       0.8926       0.7036   170.1
0.1750           1.7521       0.8915       0.8606   208.1
0.1800           1.7697       0.8682       0.9015   217.9
0.1850           1.7598       0.8194       0.9404   227.4
0.1900           1.6938       0.7724       0.9213   222.7
0.1950           1.7378       0.7386       0.9992   241.6
0.2000           1.7337       0.7147       1.0190   246.4
0.2050           1.7097       0.7118       0.9978   241.2
0.2100           1.7413       0.7156       1.0257   248.0
0.2150           1.7093       0.7245       0.9848   238.1
0.2200           1.7894       0.7381       1.0513   254.2
0.2250           1.8402       0.7416       1.0985   265.6
0.2300           1.8660       0.7395       1.1264   272.3
0.2350           1.8387       0.7454       1.0933   264.3
0.2400           1.7801       0.7760       1.0041   242.7
0.2450           1.8011       0.7904       1.0107   244.3
0.2500           1.8276       0.8020       1.0256   248.0
0.2550           1.8414       0.8091       1.0323   249.6
0.2600           1.8849       0.8071       1.0779   260.6
0.2650           1.8486       0.8087       1.0399   251.4
0.2700           1.8883       0.8084       1.0798   261.1
0.2750           1.8629       0.8118       1.0511   254.1
0.2800           1.8003       0.8265       0.9738   235.4
0.2850           1.7855       0.8386       0.9468   228.9
0.2900           1.7962       0.8507       0.9454   228.6
0.2950           1.7756       0.8680       0.9076   219.4
0.3000           1.8452       0.8608       0.9845   238.0
0.3050           1.8109       0.8423       0.9687   234.2
0.3100           1.7812       0.8226       0.9586   231.7
0.3150           1.8811       0.8217       1.0594   256.1
0.3200           1.8076       0.8210       0.9866   238.5
0.3250           1.7887       0.8248       0.9639   233.0
0.3300           1.8336       0.8139       1.0197   246.5
0.3350           1.8667       0.7681       1.0986   265.6
0.3400           1.8607       0.7294       1.1314   273.5
0.3450           1.9729       0.6842       1.2887   311.6
0.3500           1.8674       0.6288       1.2386   299.4
0.3550           1.8611       0.5930       1.2681   306.6
0.3600           1.8203       0.5983       1.2220   295.4
0.3650           1.7520       0.6378       1.1142   269.4
0.3700           1.8308       0.6967       1.1341   274.2
0.3750           1.7262       0.7754       0.9508   229.9
0.3800           1.7707       0.8592       0.9115   220.4
0.3850           1.7183       0.9388       0.7795   188.5
0.3900           1.7462       0.9717       0.7745   187.3
0.3950           1.7051       0.9611       0.7440   179.9
0.4000           1.7359       0.9154       0.8205   198.4
0.4050           1.7364       0.8423       0.8941   216.2
0.4100           1.7497       0.7753       0.9743   235.6
0.4150           1.7092       0.7133       0.9958   240.8
0.4200           1.6850       0.6664       1.0185   246.2
0.4250           1.7460       0.6437       1.1023   266.5
0.4300           1.8802       0.6555       1.2247   296.1
0.4350           1.7968       0.7018       1.0950   264.7
0.4400           1.7877       0.7673       1.0204   246.7
0.4450           1.7566       0.8395       0.9171   221.7
0.4500           1.8283       0.8906       0.9377   226.7
0.4550           1.9298       0.9302       0.9996   241.7
0.4600           1.8529       0.9608       0.8921   215.7
0.4650           1.8119       0.9625       0.8493   205.3
0.4700           1.8946       0.9304       0.9642   233.1
0.4750           1.8462       0.8927       0.9535   230.5
0.4800           1.8872       0.8581       1.0291   248.8
0.4850           2.0187       0.8275       1.1913   288.0
0.4900           2.0100       0.8126       1.1974   289.5
0.4950           1.9565       0.8178       1.1387   275.3
0.5000           1.9948       0.8415       1.1533   278.8
